Event,Team,Medal,Known As,Athlete ID,NOC,Discipline,Year,Season,Place,Tied Place
"Doubles, Men (Olympic)",Albert Canet,Bronze,Édouard Mény de Marangue,30,FRA,Tennis,1912,Summer,3.0,False
"Singles, Men (Olympic)",,,André Prévost,31,FRA,Tennis,1900,Summer,8.0,True
"Doubles, Men (Olympic)",Guy de la Chapelle,Bronze,André Prévost,31,FRA,Tennis,1900,Summer,3.0,True
"Doubles, Handicap, Mixed (Olympic (non-medal))",Yvonne Prévost,,André Prévost,31,FRA,Tennis,1900,Summer,1.0,False
"Singles, Handicap, Men (Olympic (non-medal))",,,André Prévost,31,FRA,Tennis,1900,Summer,1.0,False
"Doubles, Handicap, Men (Olympic (non-medal))",Reggie Doherty,,André Prévost,31,FRA,Tennis,1900,Summer,5.0,True
"Singles, Men (Olympic)",,,Guillaume Raoux,32,FRA,Tennis,1996,Summer,33.0,True
"Doubles, Men (Olympic)",Arnaud Boetsch,,Guillaume Raoux,32,FRA,Tennis,1996,Summer,17.0,True
"Singles, Men (Olympic)",,,Stéphane Renault,33,FRA,Badminton,1992,Summer,33.0,True
"Singles, Men (Olympic)",,,Jean-Pierre Samazeuilh,34,FRA,Tennis,1912,Summer,,False
"Doubles, Men (Olympic)",Daniel Lawton,,Jean-Pierre Samazeuilh,34,FRA,Tennis,1912,Summer,,False
"Singles, Men (Olympic)",,,Jean-Pierre Samazeuilh,34,FRA,Tennis,1920,Summer,17.0,True
"Doubles, Men (Olympic)",Daniel Lawton,,Jean-Pierre Samazeuilh,34,FRA,Tennis,1920,Summer,9.0,True
"Singles, Men (Olympic)",,,Fabrice Santoro,35,FRA,Tennis,1992,Summer,5.0,True
"Singles, Men (Olympic)",,,Fabrice Santoro,35,FRA,Tennis,2000,Summer,9.0,True
"Singles, Men (Olympic)",,,Fabrice Santoro,35,FRA,Tennis,2004,Summer,17.0,True
"Doubles, Men (Olympic)",Michaël Llodra,,Fabrice Santoro,35,FRA,Tennis,2004,Summer,5.0,True
"Singles, Men (Olympic)",,,Étienne Thobois,36,FRA,Badminton,1996,Summer,33.0,True
"Doubles, Mixed (Olympic)",Antoinette Gilou,,Pierre Verdé-Delisle,37,FRA,Tennis,1900,Summer,5.0,True
"Doubles, Handicap, Mixed (Olympic (non-medal))",Antoinette Gilou,,Pierre Verdé-Delisle,37,FRA,Tennis,1900,Summer,5.0,True
"Singles, Handicap, Men (Olympic (non-medal))",,,Pierre Verdé-Delisle,37,FRA,Tennis,1900,Summer,9.0,True
"Doubles, Handicap, Men (Olympic (non-medal))",Archibald Warden,,Pierre Verdé-Delisle,37,FRA,Tennis,1900,Summer,2.0,False
"Doubles, Covered Courts, Mixed (Olympic)",Roper Barrett,Silver,Helen Aitchison,38,GBR,Tennis,1912,Summer,2.0,False
"Singles, Covered Courts, Women (Olympic)",,,Helen Aitchison,38,GBR,Tennis,1912,Summer,5.0,True
"Singles, Women (Olympic)",,,Geraldine Beamish,39,GBR,Tennis,1920,Summer,9.0,True
"Doubles, Mixed (Olympic)",Alfred Beamish,,Geraldine Beamish,39,GBR,Tennis,1920,Summer,8.0,True
